pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
TOI-1898 b,TOI-1898,45.52234,0.269,9.39553231,129.0,51.0074,674.54,6241.0,1.6131,1.2484,Transit,2024.0,0,79.6682
TOI-1899 b,TOI-1899,29.090312,0.1525,11.09689089,212.94503269,3.4,378.0,3926.0,0.607,0.632,Transit,2020.0,0,128.438
TOI-1937 A b,TOI-1937 A,0.94667944,0.01932,13.97759893,638.83509807,3230.0,2097.0,5814.0,1.08,1.072,Transit,2023.0,0,415.135
TOI-198 b,TOI-198,10.215213,0.0675,1.36,3.17,7.2,456.0,3801.0,0.418,0.417,Transit,2023.0,0,23.7262
TOI-199 b,TOI-199,104.854,0.4254,9.07927437,54.03082919,8.5419,476.27,5255.0,0.82,0.936,Transit,2023.0,0,102.27
TOI-199 c,TOI-199,273.69,0.807,11.4,88.99195396,,,5255.0,0.82,0.936,Transit Timing Variations,2023.0,0,102.27
TOI-1994 b,TOI-1994,4.0337142,0.0613,13.67495645,7024.0077947,1910.26,2290.0,7700.0,2.3,1.86,Transit,2024.0,0,515.603
TOI-2000 b,TOI-2000,3.09833,0.04271,2.7,11.0,628.0,1488.0,5611.0,1.134,1.082,Transit,2023.0,0,175.713
TOI-2000 c,TOI-2000,9.127055,0.0878,8.14,81.7,149.0,1038.0,5611.0,1.134,1.082,Transit,2023.0,0,175.713
TOI-2005 b,TOI-2005,17.305904,0.16,11.99360935,2034.1018048,525.9409,1221.39,7130.0,2.02,1.59,Transit,2025.0,0,328.475
TOI-201 b,TOI-201,52.977946,0.3026,11.82547464,184.34047606,68.4513,759.0,6394.0,1.339,1.316,Transit,2021.0,0,113.825
TOI-201 c,TOI-201,2800.0,4.28,11.13051784,4513.1633794,,,6394.0,1.339,1.316,Transit Timing Variations,2025.0,0,113.825
TOI-2010 b,TOI-2010,141.834025,0.5516,11.81426566,408.7273314,4.09,400.2,5929.0,1.079,1.112,Transit,2023.0,0,109.19
TOI-2015 b,TOI-2015,3.348237,0.029322,3.309,9.2,13.185,530.9,3297.0,0.3273,0.3041,Transit,2023.0,0,47.3444
TOI-2015 c,TOI-2015,5.582796,0.041232,2.93,8.91,6.68,448.0,3297.0,0.3273,0.3041,Transit Timing Variations,2025.0,0,47.3444
TOI-2018 b,TOI-2018,7.435583,,2.268,9.2,26.0758,576.34,4174.0,0.62,0.57,Transit,2023.0,0,27.9956
TOI-2019 b,TOI-2019,15.3444,0.128,5.33275337,34.4,126.052,917.46,5626.0,1.7457,1.1832,Transit,2024.0,0,198.007
TOI-2025 b,TOI-2025,8.8720982,0.0892,11.89272852,1144.1822652,343.7178,1166.0,5977.0,1.459,1.199,Transit,2022.0,0,335.985
TOI-2031 A b,TOI-2031 A,5.71548654,0.066,14.20177855,254.2627256,567.0,1358.0,6490.0,1.241,1.174,Transit,2025.0,0,276.105
TOI-2046 b,TOI-2046,1.4971842,,16.14093221,731.0053361,2643.655,1828.82,6250.0,1.21,1.13,Transit,2022.0,0,289.668
TOI-2048 b,TOI-2048,13.79019,,2.61,7.32,29.035,646.0,5185.0,0.79,0.83,Transit,2022.0,0,116.567
TOI-205 b,TOI-205,4.25300773815,,2.50121142,6.81,1740.9224,1799.55,6302.74,1.45382,1.2,Transit,2026.0,0,177.759
TOI-206 b,TOI-206,0.7363104,0.0112,1.3,2.24,117.7582,910.0,3383.0,0.35,0.35,Transit,2022.0,0,47.7465
TOI-2068 b,TOI-2068,7.768915,0.0632,1.821,3.97,12.23,520.62,3710.0,0.535,0.559,Transit,2024.0,0,52.9328
TOI-2071 b,TOI-2071,5.67395386982,,2.56484195,7.1,265.3025,1029.33,5755.41,1.00286,1.063,Transit,2026.0,0,231.311
